id;name;number;URL;socket;Product Collection;Code Name;Vertical Segment;Processor Number;Lithography;Use Conditions;Total Cores;Total Threads;Max Turbo Frequency;Turbo Boost Max Technology 3.0 Frequency;Turbo Boost Technology 2.0 Frequency;Processor Base Frequency;Cache;Bus Speed;TDP;Configurable TDP-down Base Frequency;Configurable TDP-down;Thermal Velocity Boost Frequency;Configurable TDP-up Base Frequency;Configurable TDP-up;Deep Learning Boost ( DL Boost) on CPU;# of QPI Links;Scenario Design Power (SDP);# of Performance-cores;# of Efficient-cores;# of Low Power Efficient-cores;Performance-core Max Turbo Frequency;Efficient-core Max Turbo Frequency;Low Power Efficient-core Max Turbo Frequency;Performance-core Base Frequency;Efficient-core Base Frequency;Low Power Efficient-core Base Frequency;Processor Base Power;Maximum Turbo Power;Minimum Assured Power;AI Software Frameworks Supported by CPU;Marketing Status;Launch Date;Embedded Options Available;Use Conditions;Datasheet;Servicing Status;End of Servicing Updates Date;Description;Included Items;Expected Discontinuance;Product Brief;Additional Information;Functional Safety (FuSa) Documentation Available;Product Tuning (Embedded Uses);Max Memory Size (dependent on memory type);Memory Types;Max # of Memory Channels;Max Memory Bandwidth;ECC Memory Supported;Physical Address Extensions;Maximum Memory Speed;GPU Name;Graphics Base Frequency;Graphics Max Dynamic Frequency;Graphics Video Max Memory;Execution Units;4K Support;Max Resolution (HDMI);Max Resolution (DP);Max Resolution (eDP - Integrated Flat Panel);DirectX* Support;OpenGL* Support;OpenCL* Support;Quick Sync Video;InTru 3D Technology;Clear Video HD Technology;Clear Video Technology;# of Displays Supported;Device ID;Graphics Output;Multi-Format Codec Engines;Flexible Display Interface ( FDI);Max Resolution (VGA);Macrovision* License Required;Xe-cores;Ray Tracing;H.264 Hardware Encode/Decode;H.265 (HEVC) Hardware Encode/Decode;AV1 Encode/Decode;VP9 Bitstream & Decoding;Deep Learning Boost ( DL Boost) on GPU;AI Software Frameworks Supported by GPU;Scalability;PCI Express Revision;PCI Express Configurations;Max # of PCI Express Lanes;Thunderbolt 4;Microprocessor PCIe Revision;Chipset / PCH PCIe Revision;PCI Support;Sockets Supported;Max CPU Configuration;Thermal Solution Specification;TJUNCTION;Package Size;Thermal Velocity Boost Temperature;TCASE;Processing Die Size;# of Processing Die Transistors;Max Operating Temperature;Minimum Operating Temperature;Gaussian & Neural Accelerator;Deep Learning Boost ( DL Boost) on CPU;Optane Memory Supported;Thermal Velocity Boost;Turbo Boost Max Technology 3.0;Turbo Boost Technology;Hyper-Threading Technology;64;Instruction Set;Instruction Set Extensions;Idle States;Enhanced SpeedStep Technology;Thermal Monitoring Technologies;Identity Protection Technology;Image Processing Unit;Smart Sound Technology;Wake on Voice;High Definition Audio;Adaptix Technology;Speed Shift Technology;Flex Memory Access;Volume Management Device (VMD);MIPI SoundWire*;Demand Based Switching;Smart Response Technology;Transactional Synchronization Extensions;Fast Memory Access;My WiFi Technology;4G WiMAX Wireless Technology;Virtualization Technology (VT-x);Virtualization Technology for Directed I/O (VT-d);VT-x with Extended Page Tables (EPT);ME Firmware Version;HD Audio Technology;Matrix Storage Technology;Rapid Storage Technology;Smart Connect Technology;Time Coordinated Computing ( TCC);# of AVX-512 FMA Units;Thread Director;vPro Eligibility;AES New Instructions;Secure Key;Software Guard Extensions ( SGX);OS Guard;Trusted Execution Technology;Execute Disable Bit;Boot Guard;Stable IT Platform Program (SIPP);Virtualization Technology (VT-x);Virtualization Technology for Directed I/O (VT-d);VT-x with Extended Page Tables (EPT);Control-Flow Enforcement Technology;Mode-based Execute Control (MBEC);Total Memory Encryption;Memory Protection Extensions ( MPX);Anti-Theft Technology;Threat Detection Technology (TDT);Active Management Technology (AMT);Standard Manageability (ISM);Remote Platform Erase (RPE);One-Click Recovery;Hardware Shield Eligibility;Total Memory Encryption - Multi Key;Virtualization Technology with Redirect Protection (VT-rp);Physical Core Count;Processor Base Frequency;Cache;Bus Speed;FSB Parity;TDP;VID Voltage Range;Scenario Design Power (SDP);# of USB Ports;USB Revision;Total # of SATA Ports;Integrated LAN;Integrated IDE;General Purpose IO;UART;Max # of SATA 6.0 Gb/s Ports;NPU Name;Max Frequency;Sparsity Support;Windows Studio Effects Support;AI Software Frameworks Supported by NPU
E-2434;Xeon E-2434 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/236192/intel-xeon-e-2434-processor-12m-cache-3-40-ghz.html;FCLGA1700;Xeon E Processor;Products formerly Raptor Lake;Server;;7;;4;8;5000000000;;5000000000;3400000000;12582912;16 GT/s;55;;;;;;;;;4;;;;;;;;;;;;;Launched;2023-10-01;False;Server/Enterprise;;Baseline Servicing;;;;;;;;;137438953472;DDR5-4800;2;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;5;Up to 1x16+1x4, 2x8+1x4;20;;Gen 5;;;;1;;100 °C;;;;;;;;;;;;False;2;True;True;64-bit;['SSE4.1', 'SSE4.2', 'AVX2'];True;True;True;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;True;True;;True;True;True;True;;True;True;True;;True;True;;;;;;;;;True;True;;;;;;;;;;;;;;;;;;;;;
8468;Xeon Platinum 8468 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/231735/intel-xeon-platinum-8468-processor-105m-cache-2-10-ghz.html;FCLGA4677;4th Generation Xeon Scalable Processors;Products formerly Sapphire Rapids;Server;;7;;48;96;3800000000;;;2100000000;110100480;;350;;;;;;;;;;;;;;;;;;;;;;Launched;2023-01-01;;Server/Enterprise;;Baseline Servicing;;;;;;;;;4398046511104;Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC;8;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;5;;80;;;;;;;;;['77.5mm', '56.5mm'];;79;;;;;;True;;;;2;True;True;;['AMX', 'SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;True;True;True;True;;True;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-2697V2;Xeon Processor E5-2697 v2;number;https://ark.intel.com/content/www/us/en/ark/products/75283/intel-xeon-processor-e5-2697-v2-30m-cache-2-70-ghz.html;FCLGA2011;Xeon Processor E5 v2 Family;Products formerly Ivy Bridge EP;Server;;22;;12;24;3500000000;;3500000000.0;2700000000;30 MB Smart Cache;8 GT/s;130;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2013-07-01;False;;;End of Servicing Lifetime;Tuesday, June 30, 2020;;;;;;;;824633720832;DDR3 800/1066/1333/1600/1866;4;64102386892;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S Only;3;x4, x8, x16;40;;;;;;2;;;['52.5mm', '51mm'];;86;;;;;;;;;;2;True;True;64-bit;['AVX'];True;True;True;False;;;;;;;False;;;True;;False;;;;;;;;;;;;;;;vPro Platform;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8468V;Xeon Platinum 8468V Processor;number;https://ark.intel.com/content/www/us/en/ark/products/231739/intel-xeon-platinum-8468v-processor-97-5m-cache-2-40-ghz.html;FCLGA4677;4th Generation Xeon Scalable Processors;Products formerly Sapphire Rapids;Server;;7;;48;96;3800000000;;;2400000000;102236160.0;;330;;;;;;;;;;;;;;;;;;;;;;Launched;2023-01-01;;Server/Enterprise;;Baseline Servicing;;;;;;;;;4398046511104;Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC;8;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;5;;80;;;;;;;;;['77.5mm', '56.5mm'];;77;;;;;;True;;;;2;True;True;;['AMX', 'SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;True;True;True;True;;True;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6242R;Xeon Gold 6242R Processor;number;https://ark.intel.com/content/www/us/en/ark/products/199352/intel-xeon-gold-6242r-processor-35-75m-cache-3-10-ghz.html;FCLGA3647;2nd Generation Xeon Scalable Processors;Products formerly Cascade Lake;Server;;14;;20;40;4099999999;;;3100000000;37486592.0;;205;;;;;;;;;;;;;;;;;;;;;;Launched;2020-01-01;False;;;Baseline Servicing;;;;;;;;;1099511627776;DDR4-2933;6;;True;;2933000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;3;;48;;;;;;;;;['76.0mm', '56.5mm'];;76;;;;;;True;;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6226;Xeon Gold 6226 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/193957/intel-xeon-gold-6226-processor-19-25m-cache-2-70-ghz.html;FCLGA3647;2nd Generation Xeon Scalable Processors;Products formerly Cascade Lake;Server;;14;;12;24;3700000000;;;2700000000;20185088.0;;125;;;;;;;;;;;;;;;;;;;;;;Launched;2019-04-01;True;Server/Enterprise;;Baseline Servicing;;;;;;;;;1099511627776;DDR4-2933;6;;True;;2933000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4S;3;;48;;;;;;;;;['76.0mm', '56.5mm'];;86;;;;;;True;;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D-1649N;Xeon D-1649N Processor;number;https://ark.intel.com/content/www/us/en/ark/products/193696/intel-xeon-d-1649n-processor-12m-cache-2-30ghz.html;FCBGA1667;Xeon D Processor;Products formerly Hewitt Lake;Server;;14;;8;16;3000000000;;3000000000;2300000000;12582912;;45;;;;;;;0;;;;;;;;;;;;;;;Launched;2019-04-01;True;;;;;;;;;;;;137438953472;DDR4, DDR3;2;;True;;2133000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;2.0/3.0;x4 x8 x16;32;;;;;;1;;105;['37.5mm', '37.5mm'];;85;;;;;;;False;;;2;True;True;64-bit;['AVX2'];True;True;True;;;;;;;;;;;;;True;;;;;;;SPS 3.0;;;;;;;;;True;True;False;True;True;True;False;;True;True;True;;;;;;;;;;;;;;;;;;;;;;8;2.0/3.0;6;4x 10GbE;;True;True;6;;;;;
D-1533N;Xeon Processor D-1533N;number;https://ark.intel.com/content/www/us/en/ark/products/122998/intel-xeon-processor-d-1533n-9m-cache-2-10-ghz.html;FCBGA1667;Xeon D Processor;Products formerly Broadwell;Server;;14;;6;12;2700000000;;2700000000.0;2100000000;9437184;;45;;;;;;;0;;;;;;;;;;;;;;;Launched;2017-07-01;True;Server/Enterprise;;;;;;;;;;;137438953472;DDR4, DDR3;2;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;2.0/3.0;x4 x8 x16;32;;;;;;1;;;['37.5mm', '37.5mm'];;;;;;;;;;;;2;True;True;64-bit;['AVX2'];True;True;True;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;8;2.0/3.0;6;True;;True;True;;;;;;
6433N;Xeon Gold 6433N Processor;number;https://ark.intel.com/content/www/us/en/ark/products/236589/intel-xeon-gold-6433n-processor-60m-cache-2-00-ghz.html;FCLGA4677;4th Generation Xeon Scalable Processors;Products formerly Sapphire Rapids Edge Enhanced;Server;;7;;32;64;3600000000;;;2000000000;62914560;;205;;;;;;True;;;;;;;;;;;;;;;;Launched;2023-07-01;True;;;Baseline Servicing;;;;;;;;;4398046511104;DDR5-4400;8;;True;;4400000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;4;;64;;;;;;;;;['77.5mm', '56.5mm'];;85;;;;;;;;;;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;True;True;True;True;;True;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-2420V2;Xeon Processor E5-2420 v2;number;https://ark.intel.com/content/www/us/en/ark/products/75784/intel-xeon-processor-e5-2420-v2-15m-cache-2-20-ghz.html;FCLGA1356;Xeon Processor E5 v2 Family;Products formerly Ivy Bridge EN;Server;;22;;6;12;2700000000;;2700000000.0;2200000000;15 MB Smart Cache;7.2;80;;;;;;;1;;;;;;;;;;;;;;;Discontinued;2014-01-01;False;;;End of Servicing Lifetime;Tuesday, June 30, 2020;;;;;;;;412316860416;DDR3 800/1066/1333/1600;3;41231686041;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S Only;3;x4, x8, x16;24;;;;;;2;;;['45mm', '42.5mm'];;76;;;;;;;;;;2;True;True;64-bit;['AVX'];True;True;True;False;;;;;;;False;;;True;;False;;;;;;;;;;;;;;;;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8581V;Xeon Platinum 8581V Processor;number;https://ark.intel.com/content/www/us/en/ark/products/237268/intel-xeon-platinum-8581v-processor-300m-cache-2-ghz.html;FCLGA4677;5th Generation Xeon Scalable Processors;Products formerly Emerald Rapids;Server;;7;;60;120;3900000000;;;2000000000;314572800;;270;;;;;;;;;;;;;;;;;;;;;;Launched;2023-10-01;;Server/Enterprise;;Baseline Servicing;;;;;;;;;4398046511104;DDR5 @ 4800 MT/s (1 DPC);8;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;5;;80;;;;;;;;;['77.5mm', '56.5mm'];;74;;;;;;True;;;;2;True;True;;['AMX', 'SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;True;True;True;True;;True;True;True;True;True;True;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;
E-2136;Xeon E-2136 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/134857/intel-xeon-e-2136-processor-12m-cache-up-to-4-50-ghz.html;FCLGA1151;Xeon E Processor;Products formerly Coffee Lake;Server;;14;;6;12;4500000000;;4500000000.0;3300000000;12 MB Smart Cache;8 GT/s;80;;;;;;;;;;;;;;;;;;;;;;Discontinued;2018-07-01;False;;;Baseline Servicing;;Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.;This product is available in tray and box. For boxed product, a thermal solution is included;;;;;;137438953472;DDR4-2666;2;44667659878;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;3;1x16,2x8,1x8+2x4;16;;;;;;1;;100;['37.5mm', '37.5mm'];;;;;;;;;True;;;2;True;True;64-bit;['SSE4.1', 'SSE4.2', 'AVX2'];True;True;True;;;;;;;;;;;;;True;;;;;;;;;;;;;;;vPro Platform;True;True;Yes with ME;True;True;True;True;;True;True;True;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-4620V4;Xeon Processor E5-4620 v4;number;https://ark.intel.com/content/www/us/en/ark/products/93800/intel-xeon-processor-e5-4620-v4-25m-cache-2-10-ghz.html;FCLGA2011;Xeon Processor E5 v4 Family;Products formerly Broadwell;Server;;14;;10;20;2600000000;;2600000000.0;2100000000;26214400;8 GT/s;105;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2016-04-01;False;;;End of Servicing Updates;Thursday, June 30, 2022;;;;;;;;1649267441664;DDR4;4;73014444032;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4S;3;x4, x8, x16;40;;;;;;4;;;['45mm', '52.5mm'];;79;;;;;;;;;;2;True;True;64-bit;['AVX2'];True;True;True;;;;;;;;False;;;;;True;;;;;;;;;;;;;;;;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-2430V2;Xeon Processor E5-2430 v2;number;https://ark.intel.com/content/www/us/en/ark/products/75785/intel-xeon-processor-e5-2430-v2-15m-cache-2-50-ghz.html;FCLGA1356;Xeon Processor E5 v2 Family;Products formerly Ivy Bridge EN;Server;;22;;6;12;3000000000;;3000000000;2500000000;15 MB Smart Cache;7.2;80;;;;;;;1;;;;;;;;;;;;;;;Discontinued;2014-01-01;True;Server/Enterprise;;End of Servicing Lifetime;Tuesday, June 30, 2020;;;;;;;;412316860416;DDR3 800/1066/1333/1600;3;41231686041;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S Only;3;x4, x8, x16;24;;;;;;2;;;['45mm', '42.5mm'];;76;;;;;;;;;;2;True;True;64-bit;['AVX'];True;True;True;False;;;;;;;False;;;True;;False;;;;;;;;;;;;;;;;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-2697AV4;Xeon Processor E5-2697A v4;number;https://ark.intel.com/content/www/us/en/ark/products/91768/intel-xeon-processor-e5-2697a-v4-40m-cache-2-60-ghz.html;FCLGA2011;Xeon Processor E5 v4 Family;Products formerly Broadwell;Server;;14;;16;32;3600000000;;3600000000.0;2600000000;40 MB Smart Cache;9.6;145;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2016-01-01;False;;;End of Servicing Updates;Thursday, June 30, 2022;;;;;;;;1649267441664;DDR4 1600/1866/2133/2400;4;82463372083;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;3;x4, x8, x16;40;;;;;;2;;;['45mm', '52.5mm'];;78;;;;;;;;;;2;True;True;64-bit;['AVX2'];True;True;True;False;;;;;;;False;;;True;;True;;;;;;;;;;;;;;;vPro Platform;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-1650V2;Xeon Processor E5-1650 v2;number;https://ark.intel.com/content/www/us/en/ark/products/75780/intel-xeon-processor-e5-1650-v2-12m-cache-3-50-ghz.html;FCLGA2011;Xeon Processor E5 v2 Family;Products formerly Ivy Bridge EP;Server;;22;;6;12;3900000000;;3900000000.0;3500000000;12 MB Smart Cache;0 GT/s;130;;;;;;;0;;;;;;;;;;;;;;;Discontinued;2013-07-01;False;;;End of Servicing Lifetime;Tuesday, June 30, 2020;;;;;;;;274877906944;DDR3 800/1066/1333/1600/1866;4;64102386892;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;3;x4, x8, x16;40;;;;;;1;;;['52.5mm', '45.0 mm'];;70;;;;;;;;;;2;True;True;64-bit;['AVX'];True;True;True;False;;;;;;;False;;;True;;False;;;;;;;;;;;;;;;vPro Platform;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-2609;Xeon Processor E5-2609;number;https://ark.intel.com/content/www/us/en/ark/products/64588/intel-xeon-processor-e5-2609-10m-cache-2-40-ghz-6-40-gt-s-intel-qpi.html;FCLGA2011;Xeon Processor E5 Family;Products formerly Sandy Bridge EP;Server;;32;;4;4;;;;2400000000;10 MB Smart Cache;6.4;80;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2012-01-01;False;;;End of Servicing Lifetime;Tuesday, June 30, 2020;;;2015-04-01;;;;;412316860416;DDR3 800/1066;4;36614596198;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S Only;3;;40;;;;;;2;;;['52.5mm', '45.0mm'];;70;;;;;;;;;;False;False;True;64-bit;['AVX'];True;True;True;False;;;;;;;False;;;True;;;;;;;;;;;;;;;;;vPro Platform;True;;;;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6354;Xeon Gold 6354 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/212460/intel-xeon-gold-6354-processor-39m-cache-3-00-ghz.html;FCLGA4189;3rd Generation Xeon Scalable Processors;Products formerly Ice Lake;Server;;10;;18;36;3600000000;;;3000000000;40894464;;205;;;;;;;;;;;;;;;;;;;;;;Launched;2021-04-01;False;;;Baseline Servicing;;;;;;;;;6597069766656;DDR4-3200;8;;True;;3200000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;4;;64;;;;;;;;;['77.5mm', '56.5mm'];;77;;;;;;True;;;;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;;True;True;;;True;True;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E7-8830;Xeon Processor E7-8830;number;https://ark.intel.com/content/www/us/en/ark/products/53677/intel-xeon-processor-e7-8830-24m-cache-2-13-ghz-6-40-gt-s-intel-qpi.html;FCLGA1567,LGA1567;Xeon Processor E7 Family;Products formerly Westmere EX;Server;;32;;8;16;2400000000;;;2130000000;24 MB Smart Cache;6.4;105;;;;;;;;;;;;;;;;;;;;;;Discontinued;2011-04-01;False;;;End of Servicing Lifetime;;;;2015-07-01;;;;;4398046511104;DDR3 800/978/1066/1333 (Max Speed 1066 MHz);4;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S8S;;;;;;;;;8;;;['49.17mm', '56.47mm'];;64;;;;;;;;;;1;True;True;64-bit;['SSE4.1', 'SSE4.2'];;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8180;Xeon Platinum 8180 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/120496/intel-xeon-platinum-8180-processor-38-5m-cache-2-50-ghz.html;FCLGA3647;Xeon Scalable Processors;Products formerly Skylake;Server;;14;;28;56;3800000000;;;2500000000;38.5 MB L3 Cache;;205;;;;;;;;;;;;;;;;;;;;;;Discontinued;2017-07-01;False;;;ESU Notification Issued;Sunday, December 31, 2023;;;;;;;;824633720832;DDR4-2666;6;;True;;2666000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S8S;3;;48;;;;;;;;;['76.0mm', '56.5mm'];;84;;;;;;;False;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W-2155;Xeon W-2155 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/125042/intel-xeon-w-2155-processor-13-75m-cache-3-30-ghz.html;FCLGA2066;Xeon W Processor;Products formerly Skylake;Server;;14;;10;20;4500000000;;;3300000000;14417920.0;8 GT/s;140;;;;;;;0;;;;;;;;;;;;;;;Discontinued;2017-07-01;False;;;ESU Notification Issued;Sunday, December 31, 2023;;;;;;;;549755813888;DDR4 1600/1866/2133/2400/2666;4;91590177587;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;3;x4, x8, x16;48;;;;;;1;;;['45mm', '52.5mm'];;68;;;;;;;False;;False;2;True;True;64-bit;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];True;True;True;True;;;;;;True;False;True;;True;;True;;;;;;;;;;;;;2;;vPro Platform;True;True;False;True;True;True;True;;True;True;True;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5320;Xeon Gold 5320 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/215285/intel-xeon-gold-5320-processor-39m-cache-2-20-ghz.html;FCLGA4189;3rd Generation Xeon Scalable Processors;Products formerly Ice Lake;Server;;10;;26;52;3400000000;;;2200000000;40894464;;185;;;;;;;;;;;;;;;;;;;;;;Launched;2021-04-01;False;;;Baseline Servicing;;;;;;;;;6597069766656;DDR4-2933;8;;True;;2933000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;4;;64;;;;;;;;;['77.5mm', '56.5mm'];;79;;;;;;True;;;;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;;True;True;;;True;True;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6426Y;Xeon Gold 6426Y Processor;number;https://ark.intel.com/content/www/us/en/ark/products/232377/intel-xeon-gold-6426y-processor-37-5m-cache-2-50-ghz.html;FCLGA4677;4th Generation Xeon Scalable Processors;Products formerly Sapphire Rapids;Server;;7;;16;32;4099999999;;;2500000000;39321600.0;;185;;;;;;;;;;;;;;;;;;;;;;Launched;2023-01-01;True;Server/Enterprise;;Baseline Servicing;;;;;;;;;4398046511104;Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC;8;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;5;;80;;;;;;;;;['77.5mm', '56.5mm'];;80;;;;;;True;;;;2;True;True;;['AMX', 'SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;True;True;True;True;;True;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-4620;Xeon Processor E5-4620;number;https://ark.intel.com/content/www/us/en/ark/products/64607/intel-xeon-processor-e5-4620-16m-cache-2-20-ghz-7-20-gt-s-intel-qpi.html;FCLGA2011;Xeon Processor E5 Family;Products formerly Sandy Bridge EP;Server;;32;;8;16;2600000000;;2600000000.0;2200000000;16 MB Smart Cache;7.2;95;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2012-04-01;False;;;End of Servicing Lifetime;Tuesday, June 30, 2020;;;2015-04-01;;;;;412316860416;DDR3 800/1066/1333;4;45741401702;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4S Only;3;;40;;;;;;4;;;['52.5mm', '45.0mm'];;;;;;;;;;;;2;True;True;64-bit;['AVX'];True;True;True;False;;;;;;;False;;;True;;;;;;;;;;;;;;;;;;True;;;;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6242;Xeon Gold 6242 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/192440/intel-xeon-gold-6242-processor-22m-cache-2-80-ghz.html;FCLGA3647;2nd Generation Xeon Scalable Processors;Products formerly Cascade Lake;Server;;14;;16;32;3900000000;;;2800000000;23068672;;150;;;;;;;;;;;;;;;;;;;;;;Launched;2019-04-01;False;;;Baseline Servicing;;;;;;;;;1099511627776;DDR4-2933;6;;True;;2933000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4S;3;;48;;;;;;;;;['76.0mm', '56.5mm'];;85;;;;;;True;;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
