Result ID,Short ID,Company,System,Spec. Revision,Scale Factor,QphH,Price Perf,Total Sys. Cost,Currency,Database Software,Operating System,CPU Type,# CPU's,Total Processors,Total Cores,Total Threads,Cluster,Date Submitted,Active Expiration Date,Availability Date,Withdrawn,Date Withdrawn,Watts/KqphH,Average Power of REC,Idle Power of REC,Lowest Temp at Inlet,DB-Server Watts per KqphH,DB-Server Full Power Avg Watts,DB-Server Full Power %,DB-Server Idle Power Avg Watts,DB-Server Idle Power %,Storage Watts per KqphH,Storage Full Power Avg Watts,Storage Full Power %,Storage Idle Power Avg Watts,Storage Idle Power %,App-Server Watts per KqphH,App-Server Full Power Avg Watts,App-Server Full Power %,App-Server Idle Power Avg Watts,App-Server Idle Power %,Misc Watts per KqphH,Misc Full Power Avg Watts,Misc Full Power %,Misc Idle Power Avg Watts,Misc Idle Power %,Total Full Power Avg Watts,Total Idle Power Avg Watts
115071301,3315,Cisco               ,Cisco UCS C460 M4 Server                          ,2.17.1    ,3000,725686.2,1.08,781536,USD,Microsoft SQL Server 2014 Enterprise Edition                                                                                                                                                                                                                   ,Microsoft Windows 2012 R2 Standard Edition                                                                                                                                                                                                                     ,Intel Xeon E7-8890 v3 2.50GHz                                                                                                                                                                                                                                  ,1,4,72,144,N,7/13/2015,7/14/2018,7/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114121501,3311,Cisco               ,Cisco UCS C460 M4 Server                          ,2.17.0    ,1000,588831.5,0.97,570312.5,USD,Microsoft SQL Server 2014 Enterprise Edition                                                                                                                                                                                                                   ,Microsoft Windows Server 2012 R2 Standard                                                                                                                                                                                                                      ,Intel Xeon E7-4890 v2 - 2.80 GHz                                                                                                                                                                                                                               ,1,4,60,120,N,12/15/2014,12/16/2017,12/16/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114081901,3301,Cisco               ,Cisco UCS C240 M3 Server                          ,2.16.0    ,1000,304361.7,0.73,221937,USD,Microsoft SQL Server 2014 Enterprise Edition                                                                                                                                                                                                                   ,Microsoft Windows Server 2012 Standard Edition                                                                                                                                                                                                                 ,Intel Xeon E5-2690 v2 - 3.0 GHz                                                                                                                                                                                                                                ,1,2,20,40,N,8/19/2014,8/20/2017,8/20/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113103101,3291,Cisco               ,Cisco UCS C420 M3 Server                          ,2.16.0    ,3000,230119.9,1.29,295599,USD,Sybase IQ 16.0 SP02                                                                                                                                                                                                                                            ,Red Hat Enterprise Linux 6.4                                                                                                                                                                                                                                   ,Intel Xeon E5-4650 - 2.70 GHz                                                                                                                                                                                                                                  ,1,4,32,64,N,10/31/2013,11/1/2016,12/30/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113101701,3289,Cisco               ,Cisco UCS C420 M3 Server                          ,2.16.0    ,3000,233219.6,1.29,299680,USD,Sybase IQ 16.0 SP02                                                                                                                                                                                                                                            ,Red Hat Enterprise Linux 6.4                                                                                                                                                                                                                                   ,Intel Xeon E5-4650 - 2.70 GHz                                                                                                                                                                                                                                  ,1,4,32,64,N,10/17/2013,10/18/2016,12/30/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112021302,3281,Cisco               ,Cisco UCS C250 M2 Extended-Memory Server          ,2.14.0    ,100,332481.7,0.15,49644,USD,Actian VectorWise 2.0.1                                                                                                                                                                                                                                        ,Red Hat Enterprise Linux 6.0                                                                                                                                                                                                                                   ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,1,2,12,24,N,2/14/2012,2/14/2015,2/14/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112021301,3280,Cisco               ,Cisco UCS C250 M2 Extended-Memory Server          ,2.14.2    ,300,331658.1,0.34,110951,USD,Actian VectorWise 2.0.1                                                                                                                                                                                                                                        ,Red Hat Enterprise Linux 6.0                                                                                                                                                                                                                                   ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,1,2,12,24,N,2/13/2012,2/13/2015,2/13/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111120801,3279,Cisco               ,Cisco UCS C460 M2 Server                          ,2.14.2    ,1000,134117.2,1.3,174325,USD,Microsoft SQL Server 2008 Enterprise Edition R2                                                                                                                                                                                                                ,Microsoft Windows Server 2008 R2 Enterprise Edition                                                                                                                                                                                                            ,Intel Xeon E7-4870 - 2.40 GHz                                                                                                                                                                                                                                  ,4,4,40,80,N,12/7/2011,12/7/2014,12/7/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114092301,3304,Dell                ,Dell PowerEdge R720xd using EXASolution 5.0       ,2.17.0    ,100,1582736.4,0.12,179795,USD,EXASOL EXASolution 5.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 5.0                                                                                                                                                                                                                                       ,Intel Xeon E5-2680 v2 2.80 GHz                                                                                                                                                                                                                                 ,6,12,120,240,Y,9/23/2014,9/24/2017,9/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114092302,3305,Dell                ,Dell PowerEdge R720xd using EXASolution 5.0       ,2.17.0    ,300,2948721.9,0.12,337578,USD,EXASOL EXASolution 5.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 5.0                                                                                                                                                                                                                                       ,Intel Xeon E5-2680 v2 2.80 GHz                                                                                                                                                                                                                                 ,12,24,240,480,Y,9/23/2014,9/24/2017,9/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
