,# Cores,# Chips,# Cores Per Chip,# Threads Per Core,Processor ,Processor MHz,Processor Characteristics,CPU(s) Orderable,Result,Baseline,perf,hw_avail_year,perf_per_chip
7463,2,1,2.0,2.0,Intel Core i7-4650U,1700,Intel Turbo Boost Technology up to 3.30 GHz,1 chip,46.5,44.8,46.5,2014,46.5
7503,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz bus","1,2 chips",20.6,18.7,20.6,2007,10.3
5962,4,2,2.0,1.0,Intel Xeon 5160,3000,1333MHz system bus,"1,2 chips",20.9,19.0,20.9,2006,10.45
6573,4,2,2.0,1.0,Intel Xeon 5160,3000,"Dual Core, 3.0 GHz","1,2 chips",20.8,18.9,20.8,2006,10.4
409,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz system bus",1 to 2 chips,21.0,19.0,21.0,2007,10.5
431,1,1,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz system bus",2 chips,17.4,16.8,17.4,2007,17.4
533,1,1,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz system bus",2 chips,17.4,16.8,17.4,2007,17.4
4057,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.0 GHz, 2x4 MB L2 shared, 1333 MHz system bus",1 or 2 chips,23.2,19.7,23.2,2006,11.6
3536,4,2,2.0,1.0,Intel Xeon 5160,3000,1333MHz system bus,"1, 2 chips",17.3,16.6,17.3,2006,8.65
3473,4,2,2.0,1.0,Intel Xeon 5160,3000,"Dual Core, 3.0 GHz","1,2 chips",16.9,16.2,16.9,2006,8.45
7485,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz bus","1,2 chips",20.7,18.9,20.7,2007,10.35
7516,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4MB L2, 1333MHz bus","1,2 chips",21.0,19.1,21.0,2007,10.5
7517,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4MB L2, 1333MHz bus","1,2 chips",17.9,17.2,17.9,2007,8.95
7533,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4MB L2, 1333MHz bus","1,2 chips",21.0,19.1,21.0,2007,10.5
7534,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4MB L2, 1333MHz bus","1,2 chips",17.9,17.2,17.9,2007,8.95
701,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.0GHz, 1332MHz bus","1,2 chips",16.6,16.6,16.6,2006,8.3
6128,4,2,2.0,1.0,Intel Xeon 5160,3000,1333MHz system bus,"1,2 chips",20.8,18.9,20.8,2006,10.4
8199,4,2,2.0,1.0,Intel Xeon 5160,3000,3.0GHz 1333MHz System Bus,"1, 2 chips",17.4,16.2,17.4,2007,8.7
8130,4,2,2.0,1.0,Intel Xeon 5160,3000,1333 MHz system bus,1-2 (order by number of chips),21.0,17.9,21.0,2007,10.5
1258,2,1,2.0,1.0,Intel Xeon 5160,3000,1333 MHz system bus,1 to 2 chips,16.3,15.8,16.3,2006,16.3
8039,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4MB L2, 1333MHz bus","1,2 chips",21.0,19.1,21.0,2007,10.5
1215,2,1,2.0,1.0,Intel Xeon 5160,3000,1333 MHz Bus Speed,"1,2 chips",18.1,17.5,18.1,2006,18.1
1214,2,1,2.0,1.0,Intel Xeon 5160,3000,1333 MHz Bus Speed,"1,2 chips",20.2,18.4,20.2,2006,20.2
624,1,1,2.0,1.0,Intel Xeon 7140M,3400,"3.4GHz, 800MHz bus","1,2,4 chips",11.2,10.6,11.2,2006,11.2
791,1,1,2.0,1.0,Intel Xeon 7140M,3400,"3.4GHz, 800MHz bus","1,2,4 chips",11.2,10.6,11.2,2006,11.2
4147,2,1,2.0,2.0,Intel Xeon 7140M,3400,"3.4 GHz, 800 MHz system bus","1,2,4 chips",12.8,12.0,12.8,2006,12.8
7551,8,4,2.0,2.0,Intel Xeon 7140M,3400,"3.40 GHz, 800MHz bus","1,2,4 chips",12.8,12.0,12.8,2006,3.2
7549,8,4,2.0,2.0,Intel Xeon 7140M,3400,"3.40 GHz, 800MHz bus","1,2,4 chips",12.8,12.0,12.8,2006,3.2
5169,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.5,40.8,43.5,2012,21.75
4348,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.2,40.8,43.2,2012,21.6
5023,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.3,40.4,43.3,2012,21.65
5456,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.3,40.7,43.3,2012,21.65
5565,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",42.9,40.4,42.9,2012,21.45
5670,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.2,40.7,43.2,2012,21.6
5915,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.2,40.7,43.2,2012,21.6
1061,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.5,41.0,43.5,2012,21.75
4794,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.6,40.7,43.6,2012,21.8
4523,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.5,40.7,43.5,2012,21.75
4390,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.6,40.7,43.6,2012,21.8
498,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",42.5,40.1,42.5,2012,21.25
5039,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.6,40.7,43.6,2012,21.8
2962,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.4,41.0,43.4,2012,21.7
4107,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",42.8,40.4,42.8,2012,21.4
736,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.0,40.5,43.0,2012,21.5
2756,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,2 chips,43.5,41.0,43.5,2012,21.75
3140,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.8,41.2,43.8,2012,21.9
3173,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.4,41.0,43.4,2012,21.7
3412,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.4,41.0,43.4,2012,21.7
2720,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.5,40.9,43.5,2012,21.75
800,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.3,40.7,43.3,2012,21.65
2364,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.0,40.5,43.0,2012,21.5
6035,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.1,40.6,43.1,2012,21.55
1971,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",42.6,40.1,42.6,2012,21.3
1871,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",42.5,40.1,42.5,2012,21.25
600,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",42.6,40.1,42.6,2012,21.3
3891,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.4,40.9,43.4,2012,21.7
4036,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.1,40.4,43.1,2012,21.55
2856,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,2 chips,43.5,41.0,43.5,2012,21.75
1512,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.0,40.5,43.0,2012,21.5
3,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",41.5,38.9,41.5,2012,20.75
955,12,2,6.0,1.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chip",43.8,41.2,43.8,2012,21.9
8591,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",42.7,40.1,42.7,2012,21.35
6199,12,2,6.0,2.0,Intel Xeon E5-2630,2300,Intel Turbo Boost Technology up to 2.80 GHz,"1,2 chips",43.1,40.6,43.1,2012,21.55
6198,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.4,47.7,50.4,2013,25.2
4877,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",50.1,46.6,50.1,2013,25.05
4795,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",49.7,46.4,49.7,2013,24.85
1993,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",50.4,47.1,50.4,2013,25.2
4504,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",51.0,47.2,51.0,2013,25.5
4112,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",50.4,47.6,50.4,2013,25.2
7312,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",49.9,48.0,49.9,2013,24.95
3897,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",50.7,47.9,50.7,2013,25.35
2363,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",50.2,47.2,50.2,2013,25.1
799,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",48.1,45.6,48.1,2013,24.05
3428,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.4,47.7,50.4,2013,25.2
7589,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.4,47.5,50.4,2013,25.2
3189,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.4,47.7,50.4,2013,25.2
3156,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.3,47.2,50.3,2013,25.15
7813,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.3,47.5,50.3,2013,25.15
2736,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.5,47.3,50.5,2013,25.25
2978,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.4,47.5,50.4,2013,25.2
7832,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.3,47.5,50.3,2013,25.15
4931,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",49.7,46.4,49.7,2013,24.85
5014,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",50.1,46.6,50.1,2013,25.05
4382,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",50.1,46.8,50.1,2013,25.05
2772,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.4,47.4,50.4,2013,25.2
5038,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",49.7,46.4,49.7,2013,24.85
5587,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.4,47.6,50.4,2013,25.2
5914,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.4,47.7,50.4,2013,25.2
1060,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",48.0,45.5,48.0,2013,24.0
6034,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.5,47.3,50.5,2013,25.25
5669,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.7,47.4,50.7,2013,25.35
6232,12,2,6.0,2.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.6,47.4,50.6,2014,25.3
1870,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",50.2,47.5,50.2,2013,25.1
6243,12,2,6.0,1.0,Intel Xeon E5-2630 v2,2600,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",50.6,47.8,50.6,2013,25.3
3005,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.6,56.1,58.6,2015,29.3
7294,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.0,54.8,58.0,2014,29.0
8563,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",58.2,55.9,58.2,2014,29.1
3985,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",58.6,56.1,58.6,2014,29.3
3914,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.9,56.4,58.9,2014,29.45
5292,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.5,55.9,58.5,2014,29.25
8016,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",58.7,56.2,58.7,2015,29.35
7340,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.0,54.9,58.0,2014,29.0
1083,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",58.1,55.8,58.1,2014,29.05
2835,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",59.0,56.2,59.0,2014,29.5
7410,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.7,55.5,58.7,2014,29.35
4082,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.7,56.0,58.7,2014,29.35
7864,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",58.6,56.1,58.6,2015,29.3
7637,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",59.0,56.6,59.0,2015,29.5
7844,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",59.0,56.4,59.0,2015,29.5
3045,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.1,55.6,58.1,2014,29.05
2555,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",59.3,55.8,59.3,2014,29.65
5239,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.5,55.9,58.5,2014,29.25
6985,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.3,55.9,58.3,2014,29.15
4546,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.4,55.7,58.4,2014,29.2
8111,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",50.4,48.2,50.4,2014,25.2
4957,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",59.6,56.9,59.6,2014,29.8
5058,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.5,56.0,58.5,2014,29.25
7111,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",58.4,55.8,58.4,2014,29.2
980,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",58.5,56.2,58.5,2014,29.25
4819,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",57.8,55.2,57.8,2014,28.9
1349,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",57.5,54.9,57.5,2015,28.75
4711,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",59.5,57.1,59.5,2014,29.75
4639,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.7,55.9,58.7,2014,29.35
4547,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",57.7,54.1,57.7,2014,28.85
7258,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.9,56.6,58.9,2014,29.45
5185,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",59.0,56.4,59.0,2014,29.5
4017,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.5,55.9,58.5,2014,29.25
4414,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.7,55.9,58.7,2014,29.35
827,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",58.5,56.3,58.5,2014,29.25
4200,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",58.8,56.1,58.8,2014,29.4
7166,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chips",57.8,55.3,57.8,2014,28.9
4291,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",59.3,56.8,59.3,2014,29.65
7238,16,2,8.0,1.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.9,56.6,58.9,2014,29.45
2790,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",59.0,56.2,59.0,2014,29.5
2008,16,2,8.0,2.0,Intel Xeon E5-2630 v3,2400,Intel Turbo Boost Technology up to 3.20 GHz,"1,2 chip",58.4,54.8,58.4,2014,29.2
8515,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",64.0,60.8,64.0,2016,32.0
7887,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.4,60.1,63.4,2016,31.7
2009,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.7,60.2,63.7,2016,31.85
8502,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.7,60.5,63.7,2016,31.85
981,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.2,60.5,63.2,2016,31.6
7917,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.3,60.4,63.3,2016,31.65
2598,20,2,10.0,2.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",63.0,60.2,63.0,2016,31.5
1900,20,2,10.0,2.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",62.7,59.9,62.7,2016,31.35
8576,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.8,60.6,63.8,2016,31.9
1084,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",62.9,60.0,62.9,2016,31.45
8022,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.3,60.4,63.3,2016,31.65
2397,20,2,10.0,2.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",62.7,59.9,62.7,2016,31.35
7910,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.4,60.6,63.4,2016,31.7
2576,20,2,10.0,2.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",63.2,60.3,63.2,2016,31.6
7894,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.3,60.4,63.3,2016,31.65
2057,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.7,60.2,63.7,2016,31.85
3824,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",65.3,62.0,65.3,2016,32.65
3024,20,2,10.0,2.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",63.0,60.2,63.0,2016,31.5
6325,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.6,60.3,63.6,2016,31.8
6330,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.7,60.4,63.7,2016,31.85
6331,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.7,60.3,63.7,2016,31.85
6338,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.5,60.3,63.5,2016,31.75
6345,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.7,60.5,63.7,2016,31.85
5336,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",63.1,60.0,63.1,2016,31.55
5283,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",63.1,60.0,63.1,2016,31.55
5225,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",63.1,60.0,63.1,2016,31.55
6939,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.3,60.6,63.3,2016,31.65
5165,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",63.3,60.3,63.3,2016,31.65
6964,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.4,60.3,63.4,2016,31.7
7086,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.4,60.3,63.4,2016,31.7
7130,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.4,60.2,63.4,2016,31.7
4588,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chip",63.3,60.1,63.3,2016,31.65
7144,20,2,10.0,1.0,Intel Xeon E5-2630 v4,2200,Intel Turbo Boost Technology up to 3.10 GHz,"1,2 chips",63.4,60.5,63.4,2016,31.7
