,id,name,number,URL,socket,Product Collection,Code Name,Vertical Segment,Processor Number,Lithography,Use Conditions,Total Cores,Total Threads,Max Turbo Frequency,Turbo Boost Max Technology 3.0 Frequency,Turbo Boost Technology 2.0 Frequency,Processor Base Frequency,Cache,Bus Speed,TDP,Configurable TDP-down Base Frequency,Configurable TDP-down,Thermal Velocity Boost Frequency,Configurable TDP-up Base Frequency,Configurable TDP-up,Deep Learning Boost ( DL Boost) on CPU,# of QPI Links,Scenario Design Power (SDP),# of Performance-cores,# of Efficient-cores,# of Low Power Efficient-cores,Performance-core Max Turbo Frequency,Efficient-core Max Turbo Frequency,Low Power Efficient-core Max Turbo Frequency,Performance-core Base Frequency,Efficient-core Base Frequency,Low Power Efficient-core Base Frequency,Processor Base Power,Maximum Turbo Power,Minimum Assured Power,AI Software Frameworks Supported by CPU,Marketing Status,Launch Date,Embedded Options Available,Use Conditions.1,Datasheet,Servicing Status,End of Servicing Updates Date,Description,Included Items,Expected Discontinuance,Product Brief,Additional Information,Functional Safety (FuSa) Documentation Available,Product Tuning (Embedded Uses),Max Memory Size (dependent on memory type),Memory Types,Max # of Memory Channels,Max Memory Bandwidth,ECC Memory Supported,Physical Address Extensions,GPU Name,Graphics Base Frequency,Graphics Max Dynamic Frequency,Graphics Video Max Memory,Execution Units,4K Support,Max Resolution (HDMI),Max Resolution (DP),Max Resolution (eDP - Integrated Flat Panel),DirectX* Support,OpenGL* Support,OpenCL* Support,Quick Sync Video,InTru 3D Technology,Clear Video HD Technology,Clear Video Technology,# of Displays Supported,Device ID,Graphics Output,Multi-Format Codec Engines,Flexible Display Interface ( FDI),Max Resolution (VGA),Macrovision* License Required,Xe-cores,Ray Tracing,H.264 Hardware Encode/Decode,H.265 (HEVC) Hardware Encode/Decode,AV1 Encode/Decode,VP9 Bitstream & Decoding,Deep Learning Boost ( DL Boost) on GPU,AI Software Frameworks Supported by GPU,Scalability,PCI Express Revision,PCI Express Configurations,Max # of PCI Express Lanes,Thunderbolt 4,Microprocessor PCIe Revision,Chipset / PCH PCIe Revision,PCI Support,Sockets Supported,Max CPU Configuration,Thermal Solution Specification,TJUNCTION,Package Size,Thermal Velocity Boost Temperature,TCASE,Processing Die Size,# of Processing Die Transistors,Max Operating Temperature,Minimum Operating Temperature,Gaussian & Neural Accelerator,Deep Learning Boost ( DL Boost) on CPU.1,Optane Memory Supported,Thermal Velocity Boost,Turbo Boost Max Technology 3.0,Turbo Boost Technology,Hyper-Threading Technology,64,Instruction Set,Instruction Set Extensions,Idle States,Enhanced SpeedStep Technology,Thermal Monitoring Technologies,Identity Protection Technology,Image Processing Unit,Smart Sound Technology,Wake on Voice,High Definition Audio,Adaptix Technology,Speed Shift Technology,Flex Memory Access,Volume Management Device (VMD),MIPI SoundWire*,Demand Based Switching,Smart Response Technology,Transactional Synchronization Extensions,Fast Memory Access,My WiFi Technology,4G WiMAX Wireless Technology,Virtualization Technology (VT-x),Virtualization Technology for Directed I/O (VT-d),VT-x with Extended Page Tables (EPT),ME Firmware Version,HD Audio Technology,Matrix Storage Technology,Rapid Storage Technology,Smart Connect Technology,Time Coordinated Computing ( TCC),# of AVX-512 FMA Units,Thread Director,vPro Eligibility,AES New Instructions,Secure Key,Software Guard Extensions ( SGX),OS Guard,Trusted Execution Technology,Execute Disable Bit,Boot Guard,Stable IT Platform Program (SIPP),Virtualization Technology (VT-x).1,Virtualization Technology for Directed I/O (VT-d).1,VT-x with Extended Page Tables (EPT).1,Control-Flow Enforcement Technology,Mode-based Execute Control (MBEC),Total Memory Encryption,Memory Protection Extensions ( MPX),Anti-Theft Technology,Threat Detection Technology (TDT),Active Management Technology (AMT),Standard Manageability (ISM),Remote Platform Erase (RPE),One-Click Recovery,Hardware Shield Eligibility,Total Memory Encryption - Multi Key,Virtualization Technology with Redirect Protection (VT-rp),Physical Core Count,Processor Base Frequency.1,Cache.1,Bus Speed.1,FSB Parity,TDP.1,VID Voltage Range,Scenario Design Power (SDP).1,# of USB Ports,USB Revision,Total # of SATA Ports,Integrated LAN,Integrated IDE,General Purpose IO,UART,Max # of SATA 6.0 Gb/s Ports,NPU Name,Max Frequency,Sparsity Support,Windows Studio Effects Support,AI Software Frameworks Supported by NPU,Launch Year,Launch Year Month,TDP per Core,performance_id
249,6244,Xeon Gold 6244 Processor,number,https://ark.intel.com/content/www/us/en/ark/products/192442/intel-xeon-gold-6244-processor-24-75m-cache-3-60-ghz.html,FCLGA3647,2nd Gen Xeon Scalable Processors,Products formerly Cascade Lake,Server,,14,,8.0,16.0,4.4,,,3.6,25952256.0,,150.0,,,,,,,,,,,,,,,,,,,,,,Launched,2019-04-01,False,,,Baseline Servicing,,,,,,,,,1099511627776.0,DDR4-2933,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,74,,,,,,True,,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,2019-04,18.75,44
250,E5-2407V2,Xeon Processor E5-2407 v2,number,https://ark.intel.com/content/www/us/en/ark/products/75782/intel-xeon-processor-e5-2407-v2-10m-cache-2-40-ghz.html,FCLGA1356,Xeon Processor E5 v2 Family,Products formerly Ivy Bridge EN,Server,,22,,4.0,4.0,2.4,,,2.4,10 MB Smart Cache,6.4,80.0,,,,,,,1.0,,,,,,,,,,,,,,,Discontinued,2014-01-01,False,,,End of Servicing Lifetime,"Tuesday, June 30, 2020",,,,,,,,412316860416.0,DDR3 800/1066/1333,3.0,34359738368.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S Only,3,"x4, x8, x16",24.0,,,,,,2.0,,,"['45mm', '42.5mm']",,76,,,,,,,,,,False,False,True,64-bit,['AVX'],True,True,True,False,,,,,,,False,,,True,,False,,,,,,,,,,,,,,,,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,2014-01,20.0,07
251,E5-2609V2,Xeon Processor E5-2609 v2,number,https://ark.intel.com/content/www/us/en/ark/products/75787/intel-xeon-processor-e5-2609-v2-10m-cache-2-50-ghz.html,FCLGA2011,Xeon Processor E5 v2 Family,Products formerly Ivy Bridge EP,Server,,22,,4.0,4.0,2.5,,,2.5,10 MB Smart Cache,6.4,80.0,,,,,,,2.0,,,,,,,,,,,,,,,Discontinued,2013-07-01,True,Server/Enterprise,,End of Servicing Lifetime,"Tuesday, June 30, 2020",,,,,,,,824633720832.0,DDR3 800/1066/1333,4.0,45741401702.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S Only,3,"x4, x8, x16",40.0,,,,,,2.0,,,"['52.5mm', '45mm']",,71,,,,,,,,,,False,False,True,64-bit,['AVX'],True,True,True,False,,,,,,,False,,,True,,False,,,,,,,,,,,,,,,vPro Platform,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2013-07,20.0,09
253,8592+,Xeon Platinum 8592+ Processor,number,https://ark.intel.com/content/www/us/en/ark/products/237261/intel-xeon-platinum-8592-processor-320m-cache-1-9-ghz.html,FCLGA4677,5th Gen Xeon Scalable Processors,Products formerly Emerald Rapids,Server,,7,,64.0,128.0,3.9,,,1.9,335544320,,350.0,,,,,,,,,,,,,,,,,,,,,,Launched,2023-10-01,,Server/Enterprise,,Baseline Servicing,,,,,,,,,4398046511104.0,DDR5 @ 5600 MT/s (1 DPC),8.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,5,,80.0,,,,,,,,,"['77.5mm', '56.5mm']",,81,,,,,,True,,,,2,True,True,,"['AMX', 'SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,,True,,Yes with SPS,True,True,True,True,,True,True,True,True,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,2023,2023-10,5.46875,92
254,6238T,Xeon Gold 6238T Processor,number,https://ark.intel.com/content/www/us/en/ark/products/192439/intel-xeon-gold-6238t-processor-30-25m-cache-1-90-ghz.html,FCLGA3647,2nd Gen Xeon Scalable Processors,Products formerly Cascade Lake,Server,,14,,22.0,44.0,3.7,,,1.9,31719424.0,,125.0,,,,,,,,,,,,,,,,,,,,,,Launched,2019-04-01,True,Communications Commercial Temp,,Baseline Servicing,,,,,,,,,1099511627776.0,DDR4-2933,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,90,,,,,,True,,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,2019-04,5.681818181818182,38
257,E5-2697V4,Xeon Processor E5-2697 v4,number,https://ark.intel.com/content/www/us/en/ark/products/91755/intel-xeon-processor-e5-2697-v4-45m-cache-2-30-ghz.html,FCLGA2011,Xeon Processor E5 v4 Family,Products formerly Broadwell,Server,,14,,18.0,36.0,3.6,,3600000000.0,2.3,45 MB Smart Cache,9.6,145.0,,,,,,,2.0,,,,,,,,,,,,,,,Discontinued,2016-01-01,False,,,End of Servicing Updates,"Thursday, June 30, 2022",,,,,,,,1649267441664.0,DDR4 1600/1866/2133/2400,4.0,82463372083.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,3,"x4, x8, x16",40.0,,,,,,2.0,,,"['45mm', '52.5mm']",,79,,,,,,,,,,2,True,True,64-bit,['AVX2'],True,True,True,False,,,,,,,False,,,True,,True,,,,,,,,,,,,,,,vPro Platform,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016-01,8.055555555555555,97
260,5115,Xeon Gold 5115 Processor,number,https://ark.intel.com/content/www/us/en/ark/products/120484/intel-xeon-gold-5115-processor-13-75m-cache-2-40-ghz.html,FCLGA3647,Xeon Scalable Processors,Products formerly Skylake,Server,,14,,10.0,20.0,3.2,,,2.4,13.75 MB L3 Cache,,85.0,,,,,,,,,,,,,,,,,,,,,,Discontinued,2017-07-01,False,,,ESU Notification Issued,"Sunday, December 31, 2023",,,,,,,,824633720832.0,DDR4-2400,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,76,,,,,,,False,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,1.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017-07,8.5,15
261,9468,Xeon CPU Max 9468 Processor,number,https://ark.intel.com/content/www/us/en/ark/products/232596/intel-xeon-cpu-max-9468-processor-105m-cache-2-10-ghz.html,FCLGA4677,Xeon CPU Max Series,Products formerly Sapphire Rapids HBM,Server,,7,,48.0,96.0,3.5,,,2.1,110100480,,350.0,,,,,,,,,,,,,,,,,,,,,,Launched,2023-01-01,False,Server/Enterprise,,Baseline Servicing,,,,,,,,,4398046511104.0,Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC,8.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,5,,80.0,,,,,,,,,"['100mm', '56.5mm']",,77,,,,,,True,,,,2,True,True,,"['AMX', 'SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,2.0,,,True,,Yes with SPS,True,True,True,True,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,2023-01,7.291666666666667,68
262,4214,Xeon Silver 4214 Processor,number,https://ark.intel.com/content/www/us/en/ark/products/193385/intel-xeon-silver-4214-processor-16-5m-cache-2-20-ghz.html,FCLGA3647,2nd Gen Xeon Scalable Processors,Products formerly Cascade Lake,Server,,14,,12.0,24.0,3.2,,,2.2,17301504.0,,85.0,,,,,,,,,,,,,,,,,,,,,,Launched,2019-04-01,True,Server/Enterprise,,Baseline Servicing,,,,,,,,,1099511627776.0,DDR4-2400,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,77,,,,,,True,,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,1.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,2019-04,7.083333333333333,14
266,E5-2650L,Xeon Processor E5-2650L,number,https://ark.intel.com/content/www/us/en/ark/products/64585/intel-xeon-processor-e5-2650l-20m-cache-1-80-ghz-8-00-gt-s-intel-qpi.html,FCLGA2011,Xeon Processor E5 Family,Products formerly Sandy Bridge EP,Server,,32,,8.0,16.0,2.3,,2300000000.0,1.8,20 MB Smart Cache,8 GT/s,70.0,,,,,,,2.0,,,,,,,,,,,,,,,Discontinued,2012-01-01,False,,,End of Servicing Lifetime,"Tuesday, June 30, 2020",,,2015-04-01,,,,,412316860416.0,DDR3 800/1066/1333/1600,4.0,54975581388.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S Only,3,,40.0,,,,,,2.0,,,"['52.5mm', '45.0mm']",,72,,,,,,,,,,2,True,True,64-bit,['AVX'],True,True,True,False,,,,,,,False,,,True,,,,,,,,,,,,,,,,,vPro Platform,True,,,,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,2012-01,8.75,50
268,E5-4620V2,Xeon Processor E5-4620 v2,number,https://ark.intel.com/content/www/us/en/ark/products/75286/intel-xeon-processor-e5-4620-v2-20m-cache-2-60-ghz.html,FCLGA2011,Xeon Processor E5 v2 Family,Products formerly Ivy Bridge EP,Server,,22,,8.0,16.0,3.0,,3000000000.0,2.6,20 MB Smart Cache,7.2,95.0,,,,,,,2.0,,,,,,,,,,,,,,,Discontinued,2014-01-01,False,,,End of Servicing Lifetime,"Tuesday, June 30, 2020",,,,,,,,824633720832.0,DDR3 800/1066/1333/1600,4.0,54975581388.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4S Only,3,"x4, x8, x16",40.0,,,,,,4.0,,,"['52.5 mm', '45 mm']",,75,,,,,,,,,,2,True,True,64-bit,['AVX'],True,True,True,,,,,,,,,,,True,,False,,,,,,,,,,,,,,,,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,2014-01,11.875,20
269,E5-2603V3,Xeon Processor E5-2603 v3,number,https://ark.intel.com/content/www/us/en/ark/products/83349/intel-xeon-processor-e5-2603-v3-15m-cache-1-60-ghz.html,FCLGA2011,Xeon Processor E5 v3 Family,Products formerly Haswell,Server,,22,,6.0,6.0,,,,1.6,15 MB Smart Cache,6.4,85.0,,,,,,,2.0,,,,,,,,,,,,,,,Discontinued,2014-07-01,False,,,End of Servicing Updates,"Friday, December 31, 2021",,,,,,,,824633720832.0,DDR4 1600,4.0,54760833024.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,3,"x4, x8, x16",40.0,,,,,,2.0,,,"['52.5mm', '45mm']",,72.8,,,,,,,,,,False,False,True,64-bit,['AVX2'],True,True,True,False,,,,,,,False,,,True,,False,,,,,,,,,,,,,,,vPro Platform,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,2014-07,14.166666666666666,03
270,E5-1650V4,Xeon Processor E5-1650 v4,number,https://ark.intel.com/content/www/us/en/ark/products/92994/intel-xeon-processor-e5-1650-v4-15m-cache-3-60-ghz.html,FCLGA2011,Xeon Processor E5 v4 Family,Products formerly Broadwell,Server,,14,,6.0,12.0,4.0,,,3.6,15728640,0 GT/s,140.0,,,,,,,0.0,,,,,,,,,,,,,,,Discontinued,2016-04-01,False,,,End of Servicing Updates,"Thursday, June 30, 2022",,,,,,,,1649267441664.0,DDR4 1600/1866/2133/2400,4.0,82463372083.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1S Only,3,"x4, x8, x16",40.0,,,,,,1.0,,,"['45mm', '52.5mm']",,69,,,,,,,,,True,2,True,True,64-bit,['AVX2'],True,True,True,True,,,,,,,False,,,True,,True,,,,,,,,,,,,,,,vPro Platform,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016-04,23.333333333333332,50
272,5318H,Xeon Gold 5318H Processor,number,https://ark.intel.com/content/www/us/en/ark/products/204086/intel-xeon-gold-5318h-processor-24-75m-cache-2-50-ghz.html,FCLGA4189,3rd Gen Xeon Scalable Processors,Products formerly Cooper Lake,Server,,14,,18.0,36.0,3.8,,,2.5,25952256.0,,150.0,,,,,,,,,,,,,,,,,,,,,,Launched,2020-04-01,False,,,Baseline Servicing,,,,,,,,,1231453023109.0,DDR4 RDIMM,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4S,3,,48.0,,,,,,,,,['77.5x56.5mm'],,,,,,,,True,True,,,,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,,True,,,,,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2020-04,8.333333333333334,18
273,E7-8894V4,Xeon Processor E7-8894 v4,number,https://ark.intel.com/content/www/us/en/ark/products/96900/intel-xeon-processor-e7-8894-v4-60m-cache-2-40-ghz.html,FCLGA2011,Xeon Processor E7 v4 Family,Products formerly Broadwell,Server,,14,,24.0,48.0,3.4,,3400000000.0,2.4,62914560,9.6,165.0,,,,,,,3.0,,,,,,,,,,,,,,,Discontinued,2017-01-01,False,,,End of Servicing Updates,"Thursday, June 30, 2022",,,,,,,,3298534883328.0,DDR4-1333/1600/1866 DDR3-1066/1333/1600,4.0,91268055040.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S8S,3,"x4, x8, x16",32.0,,,,,,8.0,,,"['45mm', '52.5mm']",,79,,,,,,,,,,2,True,True,64-bit,['AVX2'],True,True,True,,,,,,,,False,,,False,,True,,,,,,,,,,,,,,,vPro Platform,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017-01,6.875,94
275,5220R,Xeon Gold 5220R Processor,number,https://ark.intel.com/content/www/us/en/ark/products/199354/intel-xeon-gold-5220r-processor-35-75m-cache-2-20-ghz.html,FCLGA3647,2nd Gen Xeon Scalable Processors,Products formerly Cascade Lake,Server,,14,,24.0,48.0,4.0,,,2.2,37486592.0,,150.0,,,,,,,,,,,,,,,,,,,,,,Launched,2020-01-01,False,,,Baseline Servicing,,,,,,,,,1099511627776.0,DDR4-2667,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,86,,,,,,True,,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,1.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2020-01,6.25,20
276,E7-4830V3,Xeon Processor E7-4830 v3,number,https://ark.intel.com/content/www/us/en/ark/products/84678/intel-xeon-processor-e7-4830-v3-30m-cache-2-10-ghz.html,FCLGA2011,Xeon Processor E7 v3 Family,Products formerly Haswell,Server,,22,,12.0,24.0,2.7,,2700000000.0,2.1,30 MB Last Level Cache,8 GT/s,115.0,,,,,,,3.0,,,,,,,,,,,,,,,Discontinued,2015-04-01,False,,,End of Servicing Updates,"Friday, December 31, 2021",,,,,,,,1649267441664.0,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",4.0,91268055040.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S4S,3,"x4, x8, x16",32.0,,,,,,4.0,,,"['52mm', '45mm']",,70,,,,,,,,,,2,True,True,64-bit,['AVX2'],True,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,2015-04,9.583333333333334,30
277,E7-4820V3,Xeon Processor E7-4820 v3,number,https://ark.intel.com/content/www/us/en/ark/products/84677/intel-xeon-processor-e7-4820-v3-25m-cache-1-90-ghz.html,FCLGA2011,Xeon Processor E7 v3 Family,Products formerly Haswell,Server,,22,,10.0,20.0,,,,1.9,25 MB Last Level Cache,6.4,115.0,,,,,,,3.0,,,,,,,,,,,,,,,Discontinued,2015-04-01,False,,,End of Servicing Updates,"Friday, December 31, 2021",,,,,,,,1649267441664.0,"DDR4-1333/1600/1866, DDR3-1066/1333",4.0,91268055040.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S4S,3,"x4, x8, x16",32.0,,,,,,4.0,,,"['52mm', '45mm']",,70,,,,,,,,,,False,True,True,64-bit,['AVX2'],True,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,2015-04,11.5,20
279,E7-8867L,Xeon Processor E7-8867L,number,https://ark.intel.com/content/www/us/en/ark/products/53577/intel-xeon-processor-e7-8867l-30m-cache-2-13-ghz-6-40-gt-s-intel-qpi.html,"FCLGA1567,LGA1567",Xeon Processor E7 Family,Products formerly Westmere EX,Server,,32,,10.0,20.0,2.53,,,2.13,30 MB Smart Cache,6.4,105.0,,,,,,,,,,,,,,,,,,,,,,Discontinued,2011-04-01,False,,,End of Servicing Lifetime,,,,2015-07-01,,,,,4398046511104.0,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S8S,,,,,,,,,8.0,,,"['49.17mm', '56.47mm']",,64,,,,,,,,,,1,True,True,64-bit,"['SSE4.1', 'SSE4.2']",,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011-04,10.5,67
280,4109T,Xeon Silver 4109T Processor,number,https://ark.intel.com/content/www/us/en/ark/products/123549/intel-xeon-silver-4109t-processor-11m-cache-2-00-ghz.html,FCLGA3647,Xeon Scalable Processors,Products formerly Skylake,Server,,14,,8.0,16.0,3.0,,,2.0,11 MB L3 Cache,,70.0,,,,,,,,,,,,,,,,,,,,,,Launched,2017-07-01,True,Communications,,ESU Notification Issued,"Sunday, December 31, 2023",,,,,,,,824633720832.0,DDR4-2400,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,90,,,,,,,False,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,1.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017-07,8.75,09
281,6246,Xeon Gold 6246 Processor,number,https://ark.intel.com/content/www/us/en/ark/products/193969/intel-xeon-gold-6246-processor-24-75m-cache-3-30-ghz.html,FCLGA3647,2nd Gen Xeon Scalable Processors,Products formerly Cascade Lake,Server,,14,,12.0,24.0,4.2,,,3.3,25952256.0,,165.0,,,,,,,,,,,,,,,,,,,,,,Launched,2019-04-01,False,,,Baseline Servicing,,,,,,,,,1099511627776.0,DDR4-2933,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,76,,,,,,True,,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,2019-04,13.75,46
282,E5-1620V3,Xeon Processor E5-1620 v3,number,https://ark.intel.com/content/www/us/en/ark/products/82763/intel-xeon-processor-e5-1620-v3-10m-cache-3-50-ghz.html,FCLGA2011,Xeon Processor E5 v3 Family,Products formerly Haswell,Server,,22,,4.0,8.0,3.6,,3600000000.0,3.5,10 MB Smart Cache,0 GT/s,140.0,,,,,,,0.0,,,,,,,,,,,,,,,Discontinued,2014-07-01,False,,,End of Servicing Updates,"Friday, December 31, 2021",,,,,,,,824633720832.0,DDR4 1333/1600/1866/2133,4.0,73014444032.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1S Only,3,"x4, x8, x16",40.0,,,,,,1.0,,,"['52.5mm', '45.0 mm']",,66.2,,,,,,,,,,2,True,True,64-bit,['AVX2'],True,True,True,True,,,,,,,False,,,True,,False,,,,,,,,,,,,,,,vPro Platform,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,2014-07,35.0,20
284,E5-1630V3,Xeon Processor E5-1630 v3,number,https://ark.intel.com/content/www/us/en/ark/products/82764/intel-xeon-processor-e5-1630-v3-10m-cache-3-70-ghz.html,FCLGA2011,Xeon Processor E5 v3 Family,Products formerly Haswell,Server,,22,,4.0,8.0,3.8,,3800000000.0,3.7,10 MB Smart Cache,0 GT/s,140.0,,,,,,,0.0,,,,,,,,,,,,,,,Discontinued,2014-07-01,False,,,End of Servicing Updates,"Friday, December 31, 2021",,,,,,,,824633720832.0,DDR4 1333/1600/1866/2133,4.0,73014444032.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1S Only,3,"x4, x8, x16",40.0,,,,,,1.0,,,"['52.5mm', '45.0 mm']",,66.2,,,,,,,,,,2,True,True,64-bit,['AVX2'],True,True,True,True,,,,,,,False,,,True,,False,,,,,,,,,,,,,,,vPro Platform,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,2014-07,35.0,30
285,E5-2660V2,Xeon Processor E5-2660 v2,number,https://ark.intel.com/content/www/us/en/ark/products/75272/intel-xeon-processor-e5-2660-v2-25m-cache-2-20-ghz.html,FCLGA2011,Xeon Processor E5 v2 Family,Products formerly Ivy Bridge EP,Server,,22,,10.0,20.0,3.0,,3000000000.0,2.2,25 MB Smart Cache,8 GT/s,95.0,,,,,,,2.0,,,,,,,,,,,,,,,Discontinued,2013-07-01,False,,,End of Servicing Lifetime,"Tuesday, June 30, 2020",,,,,,,,824633720832.0,DDR3 800/1066/1333/1600/1866,4.0,64102386892.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S Only,3,"x4, x8, x16",40.0,,,,,,2.0,,,"['52.5mm', '45mm']",,75,,,,,,,,,,2,True,True,64-bit,['AVX'],True,True,True,False,,,,,,,False,,,True,,False,,,,,,,,,,,,,,,vPro Platform,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2013-07,9.5,60
