,id,name,number,URL,socket,Product Collection,Code Name,Vertical Segment,Processor Number,Lithography,Use Conditions,Total Cores,Total Threads,Max Turbo Frequency,Turbo Boost Max Technology 3.0 Frequency,Turbo Boost Technology 2.0 Frequency,Processor Base Frequency,Cache,Bus Speed,TDP,Configurable TDP-down Base Frequency,Configurable TDP-down,Thermal Velocity Boost Frequency,Configurable TDP-up Base Frequency,Configurable TDP-up,Deep Learning Boost ( DL Boost) on CPU,# of QPI Links,Scenario Design Power (SDP),# of Performance-cores,# of Efficient-cores,# of Low Power Efficient-cores,Performance-core Max Turbo Frequency,Efficient-core Max Turbo Frequency,Low Power Efficient-core Max Turbo Frequency,Performance-core Base Frequency,Efficient-core Base Frequency,Low Power Efficient-core Base Frequency,Processor Base Power,Maximum Turbo Power,Minimum Assured Power,AI Software Frameworks Supported by CPU,Marketing Status,Launch Date,Embedded Options Available,Use Conditions.1,Datasheet,Servicing Status,End of Servicing Updates Date,Description,Included Items,Expected Discontinuance,Product Brief,Additional Information,Functional Safety (FuSa) Documentation Available,Product Tuning (Embedded Uses),Max Memory Size (dependent on memory type),Memory Types,Max # of Memory Channels,Max Memory Bandwidth,ECC Memory Supported,Physical Address Extensions,GPU Name,Graphics Base Frequency,Graphics Max Dynamic Frequency,Graphics Video Max Memory,Execution Units,4K Support,Max Resolution (HDMI),Max Resolution (DP),Max Resolution (eDP - Integrated Flat Panel),DirectX* Support,OpenGL* Support,OpenCL* Support,Quick Sync Video,InTru 3D Technology,Clear Video HD Technology,Clear Video Technology,# of Displays Supported,Device ID,Graphics Output,Multi-Format Codec Engines,Flexible Display Interface ( FDI),Max Resolution (VGA),Macrovision* License Required,Xe-cores,Ray Tracing,H.264 Hardware Encode/Decode,H.265 (HEVC) Hardware Encode/Decode,AV1 Encode/Decode,VP9 Bitstream & Decoding,Deep Learning Boost ( DL Boost) on GPU,AI Software Frameworks Supported by GPU,Scalability,PCI Express Revision,PCI Express Configurations,Max # of PCI Express Lanes,Thunderbolt 4,Microprocessor PCIe Revision,Chipset / PCH PCIe Revision,PCI Support,Sockets Supported,Max CPU Configuration,Thermal Solution Specification,TJUNCTION,Package Size,Thermal Velocity Boost Temperature,TCASE,Processing Die Size,# of Processing Die Transistors,Max Operating Temperature,Minimum Operating Temperature,Gaussian & Neural Accelerator,Deep Learning Boost ( DL Boost) on CPU.1,Optane Memory Supported,Thermal Velocity Boost,Turbo Boost Max Technology 3.0,Turbo Boost Technology,Hyper-Threading Technology,64,Instruction Set,Instruction Set Extensions,Idle States,Enhanced SpeedStep Technology,Thermal Monitoring Technologies,Identity Protection Technology,Image Processing Unit,Smart Sound Technology,Wake on Voice,High Definition Audio,Adaptix Technology,Speed Shift Technology,Flex Memory Access,Volume Management Device (VMD),MIPI SoundWire*,Demand Based Switching,Smart Response Technology,Transactional Synchronization Extensions,Fast Memory Access,My WiFi Technology,4G WiMAX Wireless Technology,Virtualization Technology (VT-x),Virtualization Technology for Directed I/O (VT-d),VT-x with Extended Page Tables (EPT),ME Firmware Version,HD Audio Technology,Matrix Storage Technology,Rapid Storage Technology,Smart Connect Technology,Time Coordinated Computing ( TCC),# of AVX-512 FMA Units,Thread Director,vPro Eligibility,AES New Instructions,Secure Key,Software Guard Extensions ( SGX),OS Guard,Trusted Execution Technology,Execute Disable Bit,Boot Guard,Stable IT Platform Program (SIPP),Virtualization Technology (VT-x).1,Virtualization Technology for Directed I/O (VT-d).1,VT-x with Extended Page Tables (EPT).1,Control-Flow Enforcement Technology,Mode-based Execute Control (MBEC),Total Memory Encryption,Memory Protection Extensions ( MPX),Anti-Theft Technology,Threat Detection Technology (TDT),Active Management Technology (AMT),Standard Manageability (ISM),Remote Platform Erase (RPE),One-Click Recovery,Hardware Shield Eligibility,Total Memory Encryption - Multi Key,Virtualization Technology with Redirect Protection (VT-rp),Physical Core Count,Processor Base Frequency.1,Cache.1,Bus Speed.1,FSB Parity,TDP.1,VID Voltage Range,Scenario Design Power (SDP).1,# of USB Ports,USB Revision,Total # of SATA Ports,Integrated LAN,Integrated IDE,General Purpose IO,UART,Max # of SATA 6.0 Gb/s Ports,NPU Name,Max Frequency,Sparsity Support,Windows Studio Effects Support,AI Software Frameworks Supported by NPU,Launch Year,Launch Year Month,TDP per Core,performance_id
67,6250,Xeon Gold 6250 Processor,number,https://ark.intel.com/content/www/us/en/ark/products/198652/intel-xeon-gold-6250-processor-35-75m-cache-3-90-ghz.html,FCLGA3647,2nd Gen Xeon Scalable Processors,Products formerly Cascade Lake,Server,,14,,8.0,16.0,4.5,,,3.9,37486592.0,,185.0,,,,,,,,,,,,,,,,,,,,,,Launched,2020-01-01,False,,,Baseline Servicing,,,,,,,,,1099511627776.0,DDR4-2933,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S4S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,60,,,,,,True,,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2020-01,23.125,50
68,4310T,Xeon Silver 4310T Processor,number,https://ark.intel.com/content/www/us/en/ark/products/215283/intel-xeon-silver-4310t-processor-15m-cache-2-30-ghz.html,FCLGA4189,3rd Gen Xeon Scalable Processors,Products formerly Ice Lake,Server,,10,,10.0,20.0,3.4,,,2.3,15728640,,105.0,,,,,,,,,,,,,,,,,,,,,,Launched,2021-04-01,True,Communications Commercial Temp,,Baseline Servicing,,,,,,,,,6597069766656.0,DDR4-2667,8.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,4,,64.0,,,,,,,,,"['77.5mm', '56.5mm']",,88,,,,,,True,,,,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,,True,,Yes with SPS,,True,True,,,True,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2021-04,10.5,10
70,E5-2637V2,Xeon Processor E5-2637 v2,number,https://ark.intel.com/content/www/us/en/ark/products/75792/intel-xeon-processor-e5-2637-v2-15m-cache-3-50-ghz.html,FCLGA2011,Xeon Processor E5 v2 Family,Products formerly Ivy Bridge EP,Server,,22,,4.0,8.0,3.8,,3800000000.0,3.5,15 MB Smart Cache,8 GT/s,130.0,,,,,,,2.0,,,,,,,,,,,,,,,Discontinued,2013-07-01,False,,,End of Servicing Lifetime,"Tuesday, June 30, 2020",,,,,,,,824633720832.0,DDR3 800/1066/1333/1600/1866,4.0,64102386892.0,True,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S Only,3,"x4, x8, x16",40.0,,,,,,2.0,,,"['52.5mm', '45mm']",,76,,,,,,,,,,2,True,True,64-bit,['AVX'],True,True,True,False,,,,,,,False,,,True,,False,,,,,,,,,,,,,,,vPro Platform,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2013-07,32.5,37
74,6346,Xeon Gold 6346 Processor,number,https://ark.intel.com/content/www/us/en/ark/products/212457/intel-xeon-gold-6346-processor-36m-cache-3-10-ghz.html,FCLGA4189,3rd Gen Xeon Scalable Processors,Products formerly Ice Lake,Server,,10,,16.0,32.0,3.6,,,3.1,37748736,,205.0,,,,,,,,,,,,,,,,,,,,,,Launched,2021-04-01,False,,,Baseline Servicing,,,,,,,,,6597069766656.0,DDR4-3200,8.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,4,,64.0,,,,,,,,,"['77.5mm', '56.5mm']",,78,,,,,,True,,,,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,,True,,Yes with SPS,,True,True,,,True,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2021-04,12.8125,46
75,8376HL,Xeon Platinum 8376HL Processor,number,https://ark.intel.com/content/www/us/en/ark/products/205683/intel-xeon-platinum-8376hl-processor-38-5m-cache-2-60-ghz.html,FCLGA4189,3rd Gen Xeon Scalable Processors,Products formerly Cooper Lake,Server,,14,,28.0,56.0,4.3,,,2.6,40370176.0,,205.0,,,,,,,,,,,,,,,,,,,,,,Launched,2020-04-01,False,,,Baseline Servicing,,,,,,,,,4947802324992.0,DDR4 RDIMM,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S8S,3,,48.0,,,,,,,,,['77.5x56.5mm'],,,,,,,,True,True,,,,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,,True,,,,,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2020-04,7.321428571428571,76
77,6348H,Xeon Gold 6348H Processor,number,https://ark.intel.com/content/www/us/en/ark/products/204095/intel-xeon-gold-6348h-processor-33m-cache-2-30-ghz.html,FCLGA4189,3rd Gen Xeon Scalable Processors,Products formerly Cooper Lake,Server,,14,,24.0,48.0,4.2,,,2.3,34603008,,165.0,,,,,,,,,,,,,,,,,,,,,,Launched,2020-04-01,False,,,Baseline Servicing,,,,,,,,,1231453023109.0,DDR4 RDIMM,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4S,3,,48.0,,,,,,,,,['77.5x56.5mm'],,,,,,,,True,True,,,,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,,True,,,,,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2020-04,6.875,48
79,6336Y,Xeon Gold 6336Y Processor,number,https://ark.intel.com/content/www/us/en/ark/products/215280/intel-xeon-gold-6336y-processor-36m-cache-2-40-ghz.html,FCLGA4189,3rd Gen Xeon Scalable Processors,Products formerly Ice Lake,Server,,10,,24.0,48.0,3.6,,,2.4,37748736,,185.0,,,,,,,,,,,,,,,,,,,,,,Launched,2021-04-01,True,Server/Enterprise,,Baseline Servicing,,,,,,,,,6597069766656.0,DDR4-3200,8.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,4,,64.0,,,,,,,,,"['77.5mm', '56.5mm']",,80,,,,,,True,,,,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,,True,,Yes with SPS,,True,True,,,True,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2021-04,7.708333333333333,36
86,5120T,Xeon Gold 5120T Processor,number,https://ark.intel.com/content/www/us/en/ark/products/120477/intel-xeon-gold-5120t-processor-19-25m-cache-2-20-ghz.html,FCLGA3647,Xeon Scalable Processors,Products formerly Skylake,Server,,14,,14.0,28.0,3.2,,,2.2,19.25 MB L3 Cache,,105.0,,,,,,,,,,,,,,,,,,,,,,Launched,2017-07-01,True,Communications,,ESU Notification Issued,"Sunday, December 31, 2023",,,,,,,,824633720832.0,DDR4-2400,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,89,,,,,,,False,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,1.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017-07,7.5,20
87,4210R,Xeon Silver 4210R Processor,number,https://ark.intel.com/content/www/us/en/ark/products/197098/intel-xeon-silver-4210r-processor-13-75m-cache-2-40-ghz.html,FCLGA3647,2nd Gen Xeon Scalable Processors,Products formerly Cascade Lake,Server,,14,,10.0,20.0,3.2,,,2.4,14417920.0,,100.0,,,,,,,,,,,,,,,,,,,,,,Launched,2020-01-01,True,,,Baseline Servicing,,,,,,,,,1099511627776.0,DDR4-2400,6.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,3,,48.0,,,,,,,,,"['76.0mm', '56.5mm']",,84,,,,,,True,,,False,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,1.0,,vPro Platform,True,,,,True,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2020-01,10.0,10
89,4314,Xeon Silver 4314 Processor,number,https://ark.intel.com/content/www/us/en/ark/products/215269/intel-xeon-silver-4314-processor-24m-cache-2-40-ghz.html,FCLGA4189,3rd Gen Xeon Scalable Processors,Products formerly Ice Lake,Server,,10,,16.0,32.0,3.4,,,2.4,25165824,,135.0,,,,,,,,,,,,,,,,,,,,,,Launched,2021-04-01,True,Server/Enterprise,,Baseline Servicing,,,,,,,,,6597069766656.0,DDR4-2667,8.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2S,4,,64.0,,,,,,,,,"['77.5mm', '56.5mm']",,86,,,,,,True,,,,2,True,True,,"['SSE4.2', 'AVX', 'AVX2', 'AVX-512']",,,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,2.0,,,True,,Yes with SPS,,True,True,,,True,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2021-04,8.4375,14
