,Benchmark,Hardware Vendor	,System,# Cores,# Chips,# Cores Per Chip,# Threads Per Core,Processor ,Processor MHz,Processor Characteristics,CPU(s) Orderable,Auto Parallelization,Base Pointer Size,Peak Pointer Size,1st Level Cache,2nd Level Cache,3rd Level Cache,Other Cache,Memory,Operating System,File System,Compiler,HW Avail,SW Avail,Result,Baseline,400 Peak,400 Base,401 Peak,401 Base,403 Peak,403 Base,429 Peak,429 Base,445 Peak,445 Base,456 Peak,456 Base,458 Peak,458 Base,462 Peak,462 Base,464 Peak,464 Base,471 Peak,471 Base,473 Peak,473 Base,483 Peak,483 Base,License,Tested By,Test Sponsor,Test Date,Published,Updated ,Disclosure,Disclosures,Source,perf,# Enabled Threads Per Core,Parallel,Storage,Energy Peak Result,Energy Base Result,600 Peak,600 Base,602 Peak,602 Base,605 Peak,605 Base,620 Peak,620 Base,623 Peak,623 Base,625 Peak,625 Base,631 Peak,631 Base,641 Peak,641 Base,648 Peak,648 Base,657 Peak,657 Base,hw_avail_year,perf_per_chip
12623,CINT2017,"IEIT Systems Co., Ltd.",NF5280A7 (AMD EPYC 9334),64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,768 GB (24 x 32 GB 2Rx4 PC5-4800B-R),"Red Hat Enterprise Linux 9.0 (Plow), 5.14.0-70.22.1.el9_0.x86_64",xfs,C/C++/Fortran: Version 4.0.0 of AOCC,Sep-2023,Dec-2022,14.8,14.6,,,,,,,,,,,,,,,,,,,,,,,,,3358,"IEIT Systems Co., Ltd.","IEIT Systems Co., Ltd.",Oct-2023,Nov-2023,Nov-2023,"<A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39648.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39648.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39648.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39648.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39648.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39648.cfg"">Config</A>",,cint2017,133.20000000000002,2.0,Yes,1 x 1.92 TB NVME SSD,0.0,0.0,8.84,8.84,14.9,14.9,21.9,21.1,10.7,10.7,21.6,19.8,22.4,22.4,7.29,7.29,6.15,6.15,27.3,27.3,27.1,26.6,2023,66.60000000000001
11857,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.70 GHz, AMD EPYC 9334)",64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,1536 GB (24 x 64 GB 2Rx4 PC5-4800B-R),"Ubuntu 22.04.1 LTS, Kernel 5.15.0-43-generic",ext4,C/C++/Fortran: Version 4.0.0 of AOCC,Dec-2022,Nov-2022,14.8,14.5,,,,,,,,,,,,,,,,,,,,,,,,,3,HPE,HPE,Jan-2023,Feb-2023,Feb-2023,"<A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33817.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33817.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33817.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33817.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33817.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33817.cfg"">Config</A>",,cint2017,133.20000000000002,1.0,Yes,1 x 480 GB SATA SSD,0.0,0.0,8.84,8.83,15.0,15.0,21.9,21.1,10.7,10.7,21.6,19.0,22.5,22.5,7.3,7.3,6.15,6.15,27.4,27.4,26.3,26.3,2022,66.60000000000001
12077,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.70 GHz, AMD EPYC 9334)",64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,1536 GB (24 x 64 GB 2Rx4 PC5-4800B-R),"Ubuntu 22.04.1 LTS, Kernel 5.15.0-56-generic",ext4,C/C++/Fortran: Version 4.0.0 of AOCC,Dec-2022,Nov-2022,14.7,14.5,,,,,,,,,,,,,,,,,,,,,,,,,3,HPE,HPE,Dec-2022,Feb-2023,Feb-2023,"<A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33806.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33806.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33806.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33806.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33806.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33806.cfg"">Config</A>",,cint2017,132.29999999999998,1.0,Yes,1 x 480 GB SATA SSD,0.0,0.0,8.83,8.83,15.0,15.0,21.9,21.1,10.8,10.7,21.5,19.0,22.4,22.4,7.29,7.29,6.15,6.15,27.3,27.3,26.3,26.2,2022,66.14999999999999
14525,CINT2017,Tyrone Systems,"( Tyrone Camarero SDA200A2N-18) (2.70 GHz, AMD EPYC 9334)",64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,1 TB (16 x 64 GB 2Rx4 PC5-4800B-R),"Ubuntu 20.04.4 LTS, kernel version, 5.15.0-92-generic",ext4,C/C++/Fortran: Version 4.0.0 of AOCC,Jun-2023,Jan-2024,14.6,14.4,,,,,,,,,,,,,,,,,,,,,,,,,6042,Tyrone Systems,Netweb Pte Ltd,Jan-2024,Feb-2024,Feb-2024,"<A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41066.html"">HTML</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41066.csv"">CSV</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41066.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41066.ps"">PS</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41066.txt"">Text</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41066.cfg"">Config</A>",,cint2017,131.4,2.0,Yes,1 x 1 TB NVMe,0.0,0.0,8.84,8.75,14.8,14.9,21.8,20.9,10.2,10.3,21.6,19.8,22.0,21.9,7.1,7.17,6.14,6.14,26.7,26.9,26.4,26.2,2023,65.7
11714,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.70 GHz, AMD EPYC 9334)",32,1,,,AMD EPYC 9334,2700,,1 chip,,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,384 GB (12 x 32 GB 2Rx8 PC5-4800B-R),"Ubuntu 22.04.1 LTS, Kernel 5.15.0-53-generic",ext4,C/C++/Fortran: Version 4.0.0 of AOCC,Dec-2022,Nov-2022,14.7,14.4,,,,,,,,,,,,,,,,,,,,,,,,,3,HPE,HPE,Jan-2023,Feb-2023,Mar-2023,"<A HREF=""/cpu2017/results/res2023q1/cpu2017-20230213-34102.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230213-34102.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230213-34102.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230213-34102.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230213-34102.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230213-34102.cfg"">Config</A>",,cint2017,132.29999999999998,1.0,Yes,"1 x 1.6 TB NVMe SSD, RAID 0",0.0,0.0,8.82,8.82,15.1,15.1,21.9,21.2,10.7,10.6,21.6,19.2,22.5,22.5,7.3,7.3,6.16,6.16,27.4,27.4,25.0,25.0,2022,132.29999999999998
11678,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.70 GHz, AMD EPYC 9334)",32,1,,,AMD EPYC 9334,2700,,1 chip,,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,768 GB (12 x 64 GB 2Rx4 PC5-4800B-R),"Red Hat Enterprise Linux 9.0 (Plow), Kernel 5.14.0-70.13.1.el9_0.x86_64",xfs,C/C++/Fortran: Version 4.0.0 of AOCC,Dec-2022,Nov-2022,14.7,14.5,,,,,,,,,,,,,,,,,,,,,,,,,3,HPE,HPE,Dec-2022,Feb-2023,Feb-2023,"<A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33829.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33829.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33829.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33829.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33829.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230130-33829.cfg"">Config</A>",,cint2017,132.29999999999998,1.0,Yes,1 x 480 GB SATA SSD,0.0,0.0,8.79,8.79,15.0,15.0,21.9,21.1,10.7,10.7,21.6,19.9,22.4,22.4,7.28,7.28,6.15,6.15,27.3,27.3,24.9,24.8,2022,132.29999999999998
11231,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9334 32-Core Processor),64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,768 GB (24 x 32 GB 2Rx8 PC5-4800B-R),"Ubuntu 22.04.3 LTS, 5.15.0-86-generic",tmpfs,C/C++/Fortran: Version 4.0.0 of AOCC,Feb-2023,Oct-2023,14.8,14.5,,,,,,,,,,,,,,,,,,,,,,,,,6573,Dell Inc.,Dell Inc.,Oct-2023,Jan-2024,Jan-2024,"<A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40393.html"">HTML</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40393.csv"">CSV</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40393.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40393.ps"">PS</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40393.txt"">Text</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40393.cfg"">Config</A>",,cint2017,133.20000000000002,1.0,Yes,60 GB on tmpfs,0.0,0.0,8.9,8.86,15.2,15.2,22.1,21.2,10.8,10.8,21.8,18.8,22.3,22.2,7.23,7.23,6.16,6.16,26.9,26.9,26.7,26.7,2023,66.60000000000001
11206,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9334 32-Core Processor),32,1,,,AMD EPYC 9334,2700,,1 chip,,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,384 GB (12 x 32 GB 2Rx8 PC5-4800B-R),"Ubuntu 22.04.3 LTS, 5.15.0-84-generic",tmpfs,C/C++/Fortran: Version 4.0.0 of AOCC,Feb-2023,Sep-2023,14.7,14.4,,,,,,,,,,,,,,,,,,,,,,,,,6573,Dell Inc.,Dell Inc.,Oct-2023,Jan-2024,Jan-2024,"<A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40377.html"">HTML</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40377.csv"">CSV</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40377.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40377.ps"">PS</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40377.txt"">Text</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20231218-40377.cfg"">Config</A>",,cint2017,132.29999999999998,1.0,Yes,40 GB on tmpfs,0.0,0.0,8.9,8.89,15.2,15.2,22.1,21.2,10.9,10.9,21.8,18.9,22.2,22.2,7.19,7.19,6.16,6.16,26.9,26.9,25.4,25.4,2023,132.29999999999998
10788,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9334 32-Core Processor),64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,1536 GB (24 x 64 GB 2Rx4 PC5-4800B-R),"Ubuntu 22.04.3 LTS, 5.15.0-84-generic",tmpfs,C/C++/Fortran: Version 4.0.0 of AOCC,Feb-2023,Sep-2023,14.8,14.5,,,,,,,,,,,,,,,,,,,,,,,,,6573,Dell Inc.,Dell Inc.,Mar-2024,Apr-2024,Apr-2024,"<A HREF=""/cpu2017/results/res2024q2/cpu2017-20240326-42669.html"">HTML</A> <A HREF=""/cpu2017/results/res2024q2/cpu2017-20240326-42669.csv"">CSV</A> <A HREF=""/cpu2017/results/res2024q2/cpu2017-20240326-42669.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2024q2/cpu2017-20240326-42669.ps"">PS</A> <A HREF=""/cpu2017/results/res2024q2/cpu2017-20240326-42669.txt"">Text</A> <A HREF=""/cpu2017/results/res2024q2/cpu2017-20240326-42669.cfg"">Config</A>",,cint2017,133.20000000000002,1.0,Yes,60 GB on tmpfs,0.0,0.0,8.96,8.96,15.1,15.1,22.1,21.2,10.7,10.7,21.7,18.9,22.3,22.2,7.28,7.28,6.17,6.17,26.7,26.4,26.8,26.7,2023,66.60000000000001
10765,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9334 32-Core Processor),32,1,,,AMD EPYC 9334,2700,,1 chip,,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,768 GB (12 x 64 GB 2Rx4 PC5-4800B-R),"Ubuntu 22.04.3 LTS, 5.15.0-84-generic",tmpfs,C/C++/Fortran: Version 4.0.0 of AOCC,May-2023,Sep-2023,14.7,14.4,,,,,,,,,,,,,,,,,,,,,,,,,6573,Dell Inc.,Dell Inc.,Nov-2023,Feb-2024,Feb-2024,"<A HREF=""/cpu2017/results/res2024q1/cpu2017-20240212-41498.html"">HTML</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240212-41498.csv"">CSV</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240212-41498.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240212-41498.ps"">PS</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240212-41498.txt"">Text</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240212-41498.cfg"">Config</A>",,cint2017,132.29999999999998,1.0,Yes,40 GB on tmpfs,0.0,0.0,8.96,8.96,15.2,15.2,22.1,21.1,10.8,10.6,21.4,18.8,22.3,22.2,7.3,7.3,6.16,6.16,26.6,26.3,25.3,25.2,2023,132.29999999999998
9247,CINT2017,ASUSTeK Computer Inc.,"ASUS RS720A-E12-RS12 (2.70 GHz, AMD EPYC 9334)",64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,1536 GB (24 x 64 GB 2Rx4 PC5-4800B-R),"SUSE Linux Enterprise Server 15 SP4 (x86_64), Kernel 5.14.21-150400.22-default",xfs,C/C++/Fortran: Version 4.0.0 of AOCC,Dec-2022,Nov-2022,14.9,14.7,,,,,,,,,,,,,,,,,,,,,,,,,9016,ASUSTeK Computer Inc.,ASUSTeK Computer Inc.,Jul-2023,Aug-2023,Aug-2023,"<A HREF=""/cpu2017/results/res2023q3/cpu2017-20230717-37944.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230717-37944.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230717-37944.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230717-37944.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230717-37944.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230717-37944.cfg"">Config</A>",,cint2017,134.1,2.0,Yes,1 x 4.0 TB PCIe NVMe SSD,0.0,0.0,8.85,8.85,15.0,15.0,22.1,21.3,11.0,11.0,21.6,19.9,22.4,22.4,7.36,7.36,6.15,6.15,27.3,27.3,27.6,27.2,2022,67.05
9053,CINT2017,ASUSTeK Computer Inc.,"ASUS RS520A-E12-RS12U (2.70 GHz, AMD EPYC 9334)",32,1,,,AMD EPYC 9334,2700,,1 chip,,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,768 GB (12 x 64 GB 2Rx4 PC5-4800B-R),"SUSE Linux Enterprise Server 15 SP4 (x86_64), Kernel 5.14.21-150400.22-default",xfs,C/C++/Fortran: Version 4.0.0 of AOCC,Nov-2022,Nov-2022,14.8,14.6,,,,,,,,,,,,,,,,,,,,,,,,,9016,ASUSTeK Computer Inc.,ASUSTeK Computer Inc.,Jul-2023,Aug-2023,Aug-2023,"<A HREF=""/cpu2017/results/res2023q3/cpu2017-20230728-38105.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230728-38105.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230728-38105.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230728-38105.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230728-38105.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q3/cpu2017-20230728-38105.cfg"">Config</A>",,cint2017,133.20000000000002,2.0,Yes,1 x 1.6 TB PCIe NVMe SSD,0.0,0.0,8.87,8.85,15.1,15.1,22.1,21.3,11.0,11.0,21.4,19.8,22.4,22.4,7.37,7.37,6.15,6.15,27.4,27.4,26.7,25.9,2022,133.20000000000002
12610,CINT2017,"IEIT Systems Co., Ltd.",NF5180A7 (AMD EPYC 9334),64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,768 GB (24 x 32 GB 2Rx4 PC5-4800B-R),"Red Hat Enterprise Linux 9.0 (Plow), 5.14.0-70.22.1.el9_0.x86_64",xfs,C/C++/Fortran: Version 4.0.0 of AOCC,Sep-2023,Dec-2022,14.8,14.6,,,,,,,,,,,,,,,,,,,,,,,,,3358,"IEIT Systems Co., Ltd.","IEIT Systems Co., Ltd.",Oct-2023,Nov-2023,Nov-2023,"<A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39650.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39650.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39650.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39650.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39650.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q4/cpu2017-20231106-39650.cfg"">Config</A>",,cint2017,133.20000000000002,2.0,Yes,1 x 1.92 TB NVME SSD,0.0,0.0,8.83,8.83,14.9,14.9,21.9,21.1,10.7,10.7,21.5,19.8,22.4,22.4,7.28,7.28,6.16,6.16,27.4,27.4,27.1,26.6,2023,66.60000000000001
14526,CINT2017,Tyrone Systems,"( Tyrone Camarero SDA200A2N-18) (2.70 GHz, AMD EPYC 9334)",64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,1 TB (16 x 64 GB 2Rx4 PC5-4800B-R),"Ubuntu 20.04.4 LTS, kernel version, 5.15.0-92-generic",ext4,C/C++/Fortran: Version 4.0.0 of AOCC,Jun-2023,Jan-2024,14.6,14.4,,,,,,,,,,,,,,,,,,,,,,,,,6042,Tyrone Systems,Netweb Pte Ltd,Jan-2024,Feb-2024,Feb-2024,"<A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41070.html"">HTML</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41070.csv"">CSV</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41070.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41070.ps"">PS</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41070.txt"">Text</A> <A HREF=""/cpu2017/results/res2024q1/cpu2017-20240206-41070.cfg"">Config</A>",,cint2017,131.4,2.0,Yes,1 x 1 TB NVMe,0.0,0.0,8.9,8.9,14.8,14.8,21.8,21.0,10.2,10.3,21.5,19.8,22.0,21.9,7.11,7.16,6.12,6.14,26.8,26.9,26.6,26.1,2023,65.7
